epoch,dice_metric,loss,mean_IOU_gpu,val_dice_metric,val_loss,val_mean_IOU_gpu
0,0.8461609,0.14172301012458224,0.7456486,0.8822950720787048,0.10076902277767658,0.7955559492111206
1,0.8767732,0.10052887305165782,0.78448063,0.8845577836036682,0.09919570613652468,0.7990493178367615
2,0.8903461,0.08870484136195496,0.8061877,0.8935568928718567,0.08970757678151131,0.8122187256813049
3,0.8947328,0.08459097395340602,0.8127113,0.8910373449325562,0.09267957128584385,0.8084455132484436
4,0.9048993,0.07584438309299224,0.82942945,0.8879168629646301,0.09624736536294222,0.8037125468254089
5,0.89396745,0.08707968687469309,0.8111217,0.8854787349700928,0.09917087845504284,0.8000972270965576
6,0.90427977,0.07704841607071534,0.8276041,0.8611637353897095,0.1251947109401226,0.7625782489776611
7,0.8970984,0.0842489344679346,0.81642944,0.8974772095680237,0.08522470425814391,0.8180861473083496
8,0.89930874,0.08087566385817047,0.8195738,0.8878860473632812,0.09551096633076668,0.8034155368804932
9,0.8995938,0.082292669048213,0.82028204,0.8954171538352966,0.08728888865560293,0.8149551153182983
10,0.8974717,0.08327977110942204,0.8167124,0.8963510990142822,0.08618674274533987,0.8164829015731812
11,0.8983629,0.08232845636931332,0.8179314,0.8964105844497681,0.08567992232739925,0.816262423992157
12,0.90331006,0.07759459297915902,0.8260647,0.8957292437553406,0.08687400951981544,0.815416157245636
13,0.90318036,0.07764542274026558,0.8258347,0.8980811238288879,0.0844278047606349,0.8189007043838501
14,0.9073694,0.07390415267736623,0.8324569,0.8939322829246521,0.08705284290015697,0.8119027614593506
15,0.90357894,0.07671041306898449,0.8266648,0.8959534168243408,0.08660879332572222,0.8158120512962341
16,0.90601355,0.07568152380561588,0.8304941,0.8974034190177917,0.0848878287896514,0.8182640075683594
17,0.9104724,0.07093044934850751,0.83753467,0.8979781270027161,0.08361562430858611,0.8186269998550415
18,0.90684354,0.07397232031581377,0.83142424,0.8993754386901855,0.08227903883904218,0.8209365010261536
19,0.9082411,0.07397110594643487,0.8341651,0.8985421657562256,0.08312170617282391,0.8195615410804749
20,0.90662014,0.07500955475625967,0.83136547,0.8959143161773682,0.08620911113917827,0.8154986500740051
21,0.90654624,0.0744322735176544,0.83100784,0.8916943073272705,0.08986566741019487,0.8081337213516235
22,0.9097566,0.07231782864064279,0.8367475,0.8984881639480591,0.08369223911315203,0.8198814392089844
23,0.91119665,0.07072171956451252,0.8384161,0.8940988183021545,0.08725221894681454,0.8123078346252441
24,0.9053703,0.07617625338260574,0.8290173,0.8943861126899719,0.08776088550686836,0.8131904602050781
25,0.9006168,0.08077977447196691,0.8221596,0.8936665058135986,0.08777053814381361,0.8115602135658264
26,0.91023475,0.0699142250373508,0.83703816,0.8992928266525269,0.08298415135592223,0.8207394480705261
27,0.90930283,0.07236028524736564,0.83549523,0.8935397863388062,0.0875018972158432,0.8114041686058044
28,0.91172266,0.07072642355254202,0.83966297,0.8985214233398438,0.08337068818509578,0.8194572925567627
29,0.90842175,0.07369623028419235,0.8343496,0.891609251499176,0.08924050077795982,0.8083446025848389
30,0.9100308,0.07158673076768114,0.83687484,0.8971001505851746,0.0852588238567114,0.817374587059021
31,0.91051346,0.0711306698168769,0.8376179,0.8917006850242615,0.09005008343607188,0.8085241913795471
32,0.9127966,0.06893786208497153,0.8416293,0.8964117169380188,0.08615368131548166,0.8165919780731201
33,0.9113481,0.07144500764858241,0.83966744,0.8946647644042969,0.08799098551273346,0.8138892650604248
34,0.9104156,0.07111872117401975,0.83738714,0.8958740830421448,0.08598847839981318,0.815346360206604
35,0.9188509,0.06534367203336171,0.8517571,0.8943378329277039,0.08713092658668757,0.8125372529029846
36,0.911604,0.06984630622195476,0.8393605,0.8854010105133057,0.09526357650756836,0.7983930706977844
37,0.90484124,0.07691426402089571,0.8287738,0.8923715949058533,0.08918098460882902,0.810080349445343
38,0.91463506,0.06789475244780381,0.84461904,0.8949533700942993,0.08641049105674029,0.8137399554252625
39,0.90829974,0.07356289275592626,0.83433974,0.8988670110702515,0.08318193078041076,0.8201140761375427
40,0.9069232,0.07443244915192175,0.8317619,0.8976122140884399,0.08383264653384685,0.8182392716407776
41,0.9087182,0.07354596351282765,0.834917,0.8971070051193237,0.08464806474745273,0.8173516988754272
42,0.9156592,0.067424049732661,0.8464148,0.8977548480033875,0.08386036720126867,0.8182475566864014
43,0.9181906,0.06543404176229178,0.85063386,0.8980363607406616,0.08361245390027762,0.818769097328186
44,0.9185989,0.06506165374785361,0.8513847,0.8920064568519592,0.08943730723112822,0.8089691400527954
45,0.9139268,0.06810507287431244,0.8431627,0.8957420587539673,0.08623213216662406,0.8155206441879272
46,0.9161529,0.06656670813081843,0.8469157,0.8948907256126404,0.08653705094009638,0.8138552308082581
47,0.91398543,0.06812320971353487,0.84355325,0.8975078463554382,0.08435466162860393,0.8181905150413513
48,0.91353136,0.06844440858924028,0.842932,0.8930323123931885,0.08935219496488571,0.8112902045249939
49,0.91124547,0.07092712580630875,0.83889455,0.8943348526954651,0.08686503406614066,0.8128362894058228
50,0.9177123,0.06609263342588839,0.8501742,0.8997908234596252,0.08287134818732739,0.8219190239906311
51,0.91472894,0.06758516652490755,0.8446179,0.8961770534515381,0.0855479945987463,0.815610408782959
52,0.9157681,0.06647341756733378,0.84606045,0.8958805203437805,0.08630633249878883,0.8156004548072815
53,0.9168775,0.06551359339871189,0.84838647,0.8958224654197693,0.08638211585581303,0.8155757188796997
54,0.90759045,0.07471077520437915,0.8331369,0.9036508202552795,0.07834286238998174,0.8274205923080444
