epoch,dice_metric,loss,mean_IOU_gpu
0,0.8582934,0.11914186142008713,0.7582481
1,0.8721425,0.10407915478101884,0.77723956
2,0.87536544,0.10400657229727567,0.78336644
3,0.8732797,0.10438207256598304,0.7801657
4,0.885623,0.09325612541476283,0.7986943
5,0.88090205,0.09899333194650785,0.7915544
6,0.87982476,0.09942961691154374,0.79073775
7,0.8756135,0.10255530664716105,0.7838038
8,0.8693639,0.10952276698868683,0.7756724
9,0.87065303,0.10733659189156812,0.7767358
10,0.87082905,0.10573902056373731,0.77714986
11,0.8873931,0.09259744611277122,0.80133504
12,0.87249076,0.10608243930971983,0.7792495
13,0.8690552,0.10957572500061508,0.7753168
14,0.8692653,0.10782537379800672,0.7739704
15,0.87013596,0.1085062874198863,0.77675265
16,0.87733847,0.09883750527344569,0.7862804
17,0.87111264,0.1071501826171321,0.77734804
18,0.8788008,0.10018294551080525,0.789279
19,0.86621785,0.11108511076732115,0.77097803
20,0.88345855,0.09468463576878562,0.79519606
21,0.8900885,0.08988156515841532,0.80593854
22,0.880576,0.09766457092506114,0.7915339
23,0.86087,0.11568825878202915,0.7626971
24,0.88568896,0.09222886933371274,0.7995729
25,0.8835894,0.0954435763297358,0.7968201
26,0.874302,0.10342673833171527,0.7817874
27,0.87224,0.10478245165913996,0.77934575
28,0.8656046,0.1117962057692836,0.76877147
29,0.8779955,0.10173677081110502,0.7877911
30,0.88209635,0.09645246879922019,0.7935485
31,0.86944246,0.10790842011420414,0.77444196
32,0.8848963,0.09555300573507945,0.7982178
33,0.8763317,0.10092751873713551,0.78463405
34,0.8738667,0.10389836542684623,0.7809415
35,0.87251705,0.10408493059903684,0.7800598
36,0.8749208,0.10468911025861297,0.7841947
37,0.8801802,0.0983164520238084,0.79130745
38,0.8821709,0.09600521467927128,0.7932652
39,0.8706431,0.1058768117706282,0.7765926
40,0.8791373,0.09932625267391253,0.789781
41,0.877348,0.10168775726072114,0.7880704
42,0.884015,0.09323368014560805,0.7966651
43,0.87274873,0.10434636436026505,0.77947474
44,0.868662,0.10818956781065825,0.7729237
45,0.87687206,0.10148865507558139,0.7861378
46,0.87400424,0.10350963401824537,0.7822921
47,0.8809876,0.09868897127006392,0.793224
48,0.879877,0.0992007532128782,0.79076225
49,0.86796415,0.10990955025860757,0.7714777
50,0.8824095,0.09550314936598744,0.7941969
51,0.88199794,0.09602399512824386,0.79346806
52,0.8855223,0.09346833706579426,0.79924846
53,0.8784909,0.0993263174713862,0.78709275
54,0.8923401,0.08627132591650341,0.8094875
55,0.88261485,0.09542271158084123,0.794814
56,0.88246334,0.0958826427884174,0.79429805
57,0.8826914,0.0950138062577356,0.7950708
58,0.8899905,0.09065955595085115,0.80591893
59,0.8820317,0.09564112548274223,0.79358727
60,0.8872986,0.09166563919397315,0.80130434
61,0.88884586,0.09047461906918372,0.8038995
62,0.8812941,0.09794786357969949,0.7932545
63,0.8756246,0.10329106006056371,0.7847439
64,0.8823658,0.09611323603776971,0.7934662
65,0.8923421,0.08710374348241874,0.8098713
66,0.8832607,0.09507456348475182,0.7955901
67,0.88727933,0.0913733746856451,0.8028045
68,0.88953286,0.08981778668333786,0.8054697
69,0.88587826,0.09173406246635649,0.79944366
70,0.89025974,0.08804132971874994,0.8061209
71,0.8816868,0.096335193744362,0.7930635
72,0.8850282,0.09393921708970358,0.7983365
73,0.88410795,0.09619104738036792,0.7977957
74,0.8806307,0.09578289612751416,0.7910416
75,0.88477755,0.09248522285259131,0.7973296
76,0.88857776,0.09095685784187582,0.80399245
77,0.8830277,0.09569035316205989,0.79445535
78,0.8856475,0.0922078737104782,0.7986214
79,0.8698098,0.1090169150118876,0.7770254
80,0.8820958,0.09619627110283784,0.79317546
81,0.88487947,0.09348913837186616,0.79746085
82,0.88228005,0.09586658170728972,0.79382974
83,0.8875792,0.09151999396507186,0.8018535
84,0.8782047,0.0999159308507888,0.78813905
85,0.89402455,0.08561057337757313,0.8122655
86,0.8943869,0.0860629974855016,0.81286097
87,0.87367266,0.10478532382033089,0.7823018
88,0.88292545,0.09612745183962162,0.79557747
89,0.8852902,0.09561300894828757,0.79965717
90,0.881028,0.09749917413173902,0.7921494
91,0.8938163,0.08513522964685855,0.8119472
92,0.87967306,0.09896718970302379,0.78996336
93,0.8792557,0.0997276802105133,0.7899371
94,0.8805447,0.0991878230877296,0.7913386
95,0.8881628,0.09152917842371296,0.8030858
96,0.88890386,0.09106340048590092,0.80428207
97,0.89055586,0.08839818060097068,0.8067475
98,0.8965744,0.08267613398757848,0.8148943
99,0.8846435,0.09367065724324096,0.7978886
100,0.89261496,0.08751429617404938,0.8101133
101,0.88003117,0.09941838549995663,0.79085577
102,0.88675356,0.0927805190887114,0.8012474
103,0.89345443,0.08543021004233095,0.8111006
104,0.8964631,0.0841163071154645,0.8161516
105,0.8982734,0.08293618784859927,0.8189074
106,0.89409,0.08628092104136342,0.81251794
107,0.88575715,0.09368558700262296,0.7994492
108,0.8778346,0.09922572496262463,0.7884201
109,0.8850147,0.09329685346797259,0.7979265
110,0.8979545,0.08293090472844514,0.8179463
111,0.8859264,0.09363505767300875,0.7999099
112,0.8886774,0.08859201949654204,0.80320525
113,0.88897514,0.0903658906204833,0.8044899
114,0.9001304,0.08143105222420259,0.8222069
115,0.8824553,0.0962334873926158,0.7949301
116,0.88287014,0.09639630054659916,0.796804
117,0.87643963,0.10141990599081371,0.7849179
118,0.87455875,0.10302263581090504,0.78238326
119,0.8858359,0.09137607019658041,0.79880494
120,0.8765764,0.10107645907937879,0.7857116
121,0.88093984,0.09747867252339017,0.79283017
122,0.8853736,0.09276162311811038,0.7982049
123,0.88669187,0.09116560002469053,0.80027896
124,0.8933342,0.0882693746437629,0.8119447
125,0.8912851,0.08789864686703441,0.8081139
126,0.89425427,0.08538752393514822,0.8129039
127,0.8856848,0.09322459337235701,0.798724
128,0.8856886,0.09401204834005447,0.79992175
129,0.89444125,0.08364006442328294,0.8122627
130,0.88688815,0.0909674669418371,0.80113727
131,0.89735645,0.08320190018099366,0.8173707
132,0.8878598,0.09153681466675768,0.80291986
133,0.8892369,0.08985644183827168,0.80467904
134,0.88025594,0.09709644524587525,0.7916777
135,0.8830953,0.09445795134613008,0.794816
136,0.8832368,0.09637674856742826,0.7949782
137,0.8930311,0.08592972208303634,0.8106495
138,0.88655406,0.09134653105278208,0.80060256
139,0.899176,0.07964883840671091,0.8202899
140,0.88743144,0.09118476002053781,0.8017817
141,0.88903946,0.08970951582446243,0.8046715
142,0.8902932,0.08819476084200421,0.8069561
143,0.89572877,0.08374857432161918,0.81432325
144,0.8946451,0.08404875793165029,0.8133135
145,0.89882773,0.08184409376722995,0.82108015
146,0.88601583,0.09316581391701192,0.8006748
147,0.8910872,0.08650212892980287,0.80800027
148,0.89145756,0.08807110357465166,0.8082663
149,0.89129806,0.08701328763907606,0.80875295
150,0.90221107,0.07747044833847369,0.8247273
151,0.89502525,0.08441456335813108,0.8135178
152,0.89770144,0.08106195275681187,0.81740725
153,0.9021737,0.07788684522036952,0.825164
154,0.88648665,0.09203005497428504,0.79960036
155,0.8829271,0.09510173178230873,0.79481006
156,0.90626895,0.07515601335902407,0.83201486
157,0.886795,0.09279944770263904,0.8009783
158,0.886178,0.09093773756364379,0.7995237
159,0.895505,0.08607272596822844,0.814668
160,0.8930609,0.08725624507048516,0.8115164
161,0.8933881,0.08579596425547745,0.810835
162,0.89145505,0.08825452635158794,0.8078809
