epoch,dice_metric,loss,mean_IOU_gpu,val_dice_metric,val_loss,val_mean_IOU_gpu
0,0.3020947,0.8293508393595918,0.18163517,0.3720380961894989,0.7924727201461792,0.23189420998096466
1,0.38796481,0.7969728973176744,0.24694198,0.37053319811820984,0.7745703160762787,0.2307412028312683
2,0.38144574,0.7968822506943134,0.24287042,0.38622134923934937,0.7494182884693146,0.24310816824436188
3,0.39337364,0.7485703910240019,0.25198635,0.42260098457336426,0.720129132270813,0.2738109827041626
4,0.38383776,0.7729487545562513,0.24531797,0.547645628452301,0.6942613124847412,0.3909156918525696
5,0.41512448,0.7313524373251983,0.27125376,0.6640076637268066,0.6677402257919312,0.5144739151000977
6,0.46498558,0.675325353940328,0.3150448,0.7714758515357971,0.6460254788398743,0.6423459649085999
7,0.5075078,0.6604403019553483,0.35703063,0.0,0.6793603003025055,0.0
8,0.5694684,0.6042368950867893,0.4211973,0.0,0.8099834620952606,0.0
9,0.64013666,0.5253332946637664,0.49638748,0.0,0.9114147126674652,0.0
10,0.6933762,0.4395377015826678,0.55834514,0.0,1.0335758924484253,0.0
11,0.7309584,0.35751719547040534,0.60444456,0.0,1.2169508337974548,0.0
12,0.7395553,0.30731449509509884,0.6121387,0.0,1.4449765086174011,0.0
13,0.7500027,0.27263798993645294,0.62351775,0.0,1.6907401084899902,0.0
14,0.7486987,0.2644088626509965,0.6238055,0.0,1.8934900760650635,0.0
15,0.74478304,0.26009973492285215,0.6204761,0.0,2.0687918663024902,0.0
16,0.76323384,0.23659506176758294,0.641063,0.0,2.23446786403656,0.0
17,0.74982196,0.25183568714242993,0.6250237,0.0,2.346691131591797,0.0
18,0.76866096,0.2277662760832093,0.6499846,0.0,2.459968686103821,0.0
19,0.7657523,0.23184522331664056,0.6465545,0.0,2.5517770051956177,0.0
20,0.7806391,0.21275392460702647,0.6630925,0.0,2.6193684339523315,0.0
21,0.74768853,0.25146548510199845,0.6236668,0.0,2.6807082891464233,0.0
22,0.75249374,0.24496803763839933,0.6291494,0.0,2.751487374305725,0.0
23,0.77467185,0.21881556781855496,0.6566583,0.0,2.8129833936691284,0.0
24,0.76066256,0.2383627506970155,0.64051044,0.0,2.8515772819519043,0.0
25,0.7769746,0.21465862376822364,0.65765774,0.0,2.8929673433303833,0.0
26,0.7777254,0.21312717814939192,0.65784717,0.0,2.924466371536255,0.0
27,0.7553067,0.24224602205283713,0.6320849,0.0,2.956148624420166,0.0
28,0.77071923,0.2199814035886466,0.64926755,0.0,2.9753605127334595,0.0
29,0.7764256,0.21568672818065893,0.65787095,0.0,3.0036098957061768,0.0
30,0.7713468,0.22299834431120844,0.6523385,0.0,3.0188486576080322,0.0
31,0.7908709,0.19815448370545802,0.67467123,0.0,3.0538774728775024,0.0
32,0.7806196,0.20893162820074293,0.6616482,0.0,3.078903079032898,0.0
33,0.7748067,0.21642036374771234,0.6549196,0.0,3.091586709022522,0.0
34,0.7593441,0.23697223025138933,0.6366798,0.0,3.0833910703659058,0.0
35,0.7892338,0.20047214785308548,0.67313087,0.0,3.0822019577026367,0.0
36,0.7869844,0.20153688609299034,0.6699651,0.0,3.094716429710388,0.0
37,0.7817078,0.2093440798496959,0.6669161,0.0,3.1141403913497925,0.0
38,0.7798573,0.2086475571297636,0.66036254,0.0,3.1265772581100464,0.0
39,0.7868991,0.20169636757686885,0.6689618,0.0,3.135775089263916,0.0
40,0.7849878,0.20354830767169144,0.66693455,0.0,3.1228777170181274,0.0
41,0.79130006,0.19598698224684205,0.67464477,0.0,3.124801278114319,0.0
42,0.78217244,0.2078660259945224,0.6646758,0.0,3.164093852043152,0.0
43,0.78272694,0.20447775872066767,0.6624246,0.0,3.1381895542144775,0.0
44,0.797091,0.18729587215365787,0.67975694,0.0,3.1358994245529175,0.0
45,0.77755,0.21173665198412808,0.6563528,0.0,3.128180503845215,0.0
